Row Number,Idx_Sample,Utility,Novelty,Uncertainty,fc 28-d - Target (MPa),Slump - Target (mm),SiO2,CaO,SO3,FA (kg/m3),GGBFS (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Total aggregates,Na2SiO3,Na2O (Dry),Sio2 (Dry),Superplasticizer,water -eff
105,1553,1.8355400636792183,0.12364507537600795,38.66471,49.636898,126.966324,47.085,18.3,0.45,190,190,1070.4551,776.34486,1846.8,149.28571,17.17,44.79,15.2,137.05786
124,1573,1.7609929740428925,0.13034482442983508,39.5108,49.351627,128.37323,49.69,15.44,0.36,228,152,1070.4551,776.34486,1846.8,162.85714,18.73,48.86,15.2,148.68857
123,1571,1.695158213376999,0.12825536299901805,37.86898,49.762947,125.50091,49.69,15.44,0.36,216,144,1090.8446,773.9554,1864.8,154.28571,17.74,46.29,14.4,140.86286
16,1414,1.6944323480129242,0.12815439242247137,37.86966,49.762268,125.50159,49.69,15.44,0.36,216,144,1090.8,774.0,1864.8,154.28571,17.74,46.29,14.4,140.86286
125,1574,1.588096261024475,0.2648817359917585,40.279358,49.02142,129.58014,49.69,15.44,0.36,234,156,1057.564,775.43599,1833.0,167.14286,19.22,50.14,15.6,152.60143
32,1433,1.5775508135557175,0.7883989319292879,42.259327,48.464607,132.98326,47.085,18.3,0.45,225,225,972.0,760.5,1732.5,176.78571,20.33,53.04,18.0,162.30536
112,1560,1.575521558523178,0.7881244454905766,42.259483,48.463192,132.98216,47.085,18.3,0.45,225,225,971.96195,760.53805,1732.5,176.78571,20.33,53.04,18.0,162.30536
126,1575,1.5424502491950989,0.405858109050947,41.247475,48.7218,131.21675,49.69,15.44,0.36,240,160,1043.045,772.95498,1816.0,171.42857,19.71,51.43,16.0,156.51429
139,1589,1.5072569847106934,0.8181769655590885,44.141373,47.894604,136.17735,47.085,18.3,0.45,220,220,969.46003,777.33997,1746.8,188.57143,21.69,56.57,17.6,172.16571
127,1576,1.4413468390703201,0.5457363992713222,41.901783,48.47183,132.27539,49.69,15.44,0.36,246,164,1026.6499,769.15012,1795.8,175.71429,20.21,52.71,16.4,160.42714
104,1551,1.4107590913772583,0.12157254953631372,37.34352,49.71664,124.40368,47.085,18.3,0.45,180,180,1090.8446,773.9554,1864.8,141.42857,16.26,42.43,14.4,129.84429
25,1425,1.4090429842472076,0.12146602389113734,37.34366,49.715443,124.402756,47.085,18.3,0.45,180,180,1090.8,774.0,1864.8,141.42857,16.26,42.43,14.4,129.84429
80,1525,1.405589759349823,0.14130054679138537,37.98195,49.535904,125.4998,47.085,18.3,0.45,200,200,1043.045,772.95498,1816.0,142.85714,16.43,42.86,16.0,132.02857
128,1577,1.3636861592531204,0.6106266741437663,42.21701,48.331833,132.76585,49.69,15.44,0.36,252,168,1010.9298,765.67018,1776.6,180.0,20.7,54.0,16.8,164.34
81,1527,1.2294567581266165,0.138066026201607,38.574104,49.252483,126.40069,47.085,18.3,0.45,210,210,1010.9298,765.67018,1776.6,150.0,17.25,45.0,16.8,138.63
97,1544,1.2196496576070786,0.12875463534796255,38.276466,49.328487,125.88142,49.69,15.44,0.36,234,156,1057.564,775.43599,1833.0,153.21429,17.62,45.96,15.6,140.66464
114,1562,1.1993566155433655,0.4232606458082875,39.40121,49.002518,127.80494,52.295,12.58,0.27,259,111,1081.5584,775.84155,1857.4,158.57143,18.24,47.57,14.8,144.77571
115,1563,1.0899092853069305,0.4480905406554263,39.774548,48.82491,128.37401,52.295,12.58,0.27,266,114,1070.4551,776.34486,1846.8,162.85714,18.73,48.86,15.2,148.68857
23,1422,1.0073804259300232,0.887884856680297,43.414898,47.75849,134.58829,49.69,15.44,0.36,270,180,972.0,760.5,1732.5,192.85714,22.18,57.86,18.0,176.07857
131,1580,1.0062281489372253,0.8876411349384268,43.416298,47.757324,134.58992,49.69,15.44,0.36,270,180,971.96195,760.53805,1732.5,192.85714,22.18,57.86,18.0,176.07857
79,1524,1.0025516152381897,0.21701341282236714,36.959827,49.54731,123.466965,47.085,18.3,0.45,195,195,1057.564,775.43599,1833.0,139.28571,16.02,41.79,15.6,128.72786
98,1545,0.9173900410532951,0.26155573245589425,38.687794,49.010036,126.38562,49.69,15.44,0.36,240,160,1043.045,772.95498,1816.0,157.14286,18.07,47.14,16.0,144.27143
31,1432,0.8375584483146667,0.5018481226955382,39.410145,48.755547,127.575836,47.085,18.3,0.45,225,225,972.0,760.5,1732.5,160.71429,18.48,48.21,18.0,148.53214
84,1530,0.8361364454030991,0.5017029547413572,39.409157,48.75486,127.57317,47.085,18.3,0.45,225,225,971.96195,760.53805,1732.5,160.71429,18.48,48.21,18.0,148.53214
99,1546,0.8026445657014847,0.37363803684157004,39.18021,48.795788,127.15621,49.69,15.44,0.36,246,164,1026.6499,769.15012,1795.8,161.07143,18.52,48.32,16.4,147.87821
